brand,model,year,price,currency,pub_date,title,url
Prestige,520 F-Line,2021,860000.0,GBP,2021-02-12,"£860,000 Yacht Tour : Prestige 520 F-Line",https://www.youtube.com/watch?v=RuU4iqSzMpo
Aqualine,Canterbury Widebeam,2019,183000.0,GBP,2021-02-05,"£183,000 Inland boat tour : 2019 Aqualine Canterbury Widebeam",https://www.youtube.com/watch?v=F3vkvd0DKAo
Sunseeker,Manhattan 48,1996,155000.0,GBP,2021-02-02,"£155,000 Yacht Tour : 1996 Sunseeker Manhattan 48",https://www.youtube.com/watch?v=nD7UdJkYGFs
Princess,V50 Open,2021,1800000.0,USD,2021-01-31,$1.8 million Yacht Tour : Princess V50 Open,https://www.youtube.com/watch?v=Tny6nF3zpz8
Haines,320,2021,247000.0,GBP,2021-01-29,"£247,000 yacht tour : Haines 320",https://www.youtube.com/watch?v=K41oLftOVgI
-,Hanse 508,2021,480000.0,GBP,2021-01-03,"£480,000 Yacht Tour - Hanse 508",https://www.youtube.com/watch?v=AGM6xwzGF6I
Marex,375,2021,310000.0,GBP,2021-01-15,"£310,000 Yacht Tour : Marex 375",https://www.youtube.com/watch?v=1A07uT_2YVw
Princess,49,2018,800000.0,GBP,2021-01-22,"£800,000 Yacht Tour : 2018 Princess 49",https://www.youtube.com/watch?v=a2nXVxSdtLM
Hanse,458,2021,205000.0,GBP,2021-01-26,"£205,000 Yacht Tour : Hanse 458",https://www.youtube.com/watch?v=mNQc7K3PSXo
Lagoon,42,2021,420000.0,GBP,2021-01-17,"£420,000 Yacht Tour : Lagoon 42",https://www.youtube.com/watch?v=isH0vtWoA0A
Galeon,Galia 700SD,2021,52000.0,GBP,2021-01-24,"£52,000 Yacht Tour : Galeon Galia 700SD",https://www.youtube.com/watch?v=b6EwcV2coWM
Beneteau,Oceanis 30.1,2021,112000.0,GBP,2021-01-12,"£112,000 Yacht Tour : Beneteau Oceanis 30.1",https://www.youtube.com/watch?v=N5i4hyeJoaQ
Fairline,F//Line 33,2021,270000.0,GBP,2021-01-10,"£270,000 Yacht Tour : Fairline F//Line 33",https://www.youtube.com/watch?v=uEaBOZlnUAE
Banks,Martin Beaulieu 30,2021,123000.0,GBP,2021-01-08,"£123,000 Yacht Tour : Banks Martin Beaulieu 30",https://www.youtube.com/watch?v=TD-NKnA4DFk
Duchy,27,2021,147000.0,GBP,2021-01-05,"£147,000 Yacht Tour : Duchy 27",https://www.youtube.com/watch?v=YrreLxlHnW4
Prestige,460 F Line,2021,594000.0,GBP,2021-01-01,"£594,000 Yacht Tour : Prestige 460 F Line",https://www.youtube.com/watch?v=-av1LNWzREY
Fairline,Targa 45 Open,2020,530000.0,GBP,2020-12-22,"£530,000 Yacht Tour : Fairline Targa 45 Open",https://www.youtube.com/watch?v=YKsN88kRKuc
Fairline,Phantom 46,2004,200000.0,GBP,2020-12-18,"£200,000 Yacht Tour : 2004 Fairline Phantom 46",https://www.youtube.com/watch?v=7xl_jigruPI
Moody,41DS,2020,500000.0,GBP,2020-12-15,"£500,000 Yacht Tour : Moody 41DS",https://www.youtube.com/watch?v=uIThRysm2kY
Azimut,Atlantis 45,2020,770000.0,GBP,2020-12-13,"£770,000 Yacht Tour : Azimut Atlantis 45",https://www.youtube.com/watch?v=zmsJDsZh12U
Fletcher,14 Raceboat,2020,6000.0,GBP,2020-12-24,"£6,000 Race Boat Tour : Fletcher 14 Raceboat",https://www.youtube.com/watch?v=MH9QURSInEw
Azimut,50,2020,995000.0,GBP,2020-11-22,"£995,000 Yacht Tour : Azimut 50",https://www.youtube.com/watch?v=RQ3rKj223t0
Trader,42 Signature,2008,275000.0,GBP,2020-12-11,"£275,000 Yacht Tour : 2008 Trader 42 Signature",https://www.youtube.com/watch?v=DaT6GHxkHhY
Sunseeker,Camargue 46,2020,100000.0,GBP,2020-12-08,"£100,000 Yacht Tour : Sunseeker Camargue 46",https://www.youtube.com/watch?v=m6x1cf-WHGk
Princess,V60,2020,1800000.0,GBP,2020-12-06,£1.8 million Yacht Tour : Princess V60,https://www.youtube.com/watch?v=j04kb5b72Qg
Beneteau,ST41,2020,430000.0,GBP,2020-12-01,"£430,000 Yacht Tour : Beneteau ST41",https://www.youtube.com/watch?v=NvwnfLTpcio
&amp;,Sea Trial Pearl 80,2019,3100000.0,GBP,2019-07-24,£3.1M Yacht Tour &amp; Sea Trial Pearl 80,https://www.youtube.com/watch?v=PTGXRBXiSsQ
Fairline,Squadron 50,2020,640000.0,GBP,2020-11-29,"£640,000 Yacht Tour Fairline Squadron 50",https://www.youtube.com/watch?v=Pn-nG2_6aMc
Botnia,Targa 37,2020,437000.0,GBP,2020-11-24,"£437,000 Yacht Tour : Botnia Targa 37",https://www.youtube.com/watch?v=eG1-Yo4PHes
Windy,Chinook,2014,380000.0,GBP,2020-11-20,"£380,000 Yacht Tour : 2014 Windy Chinook",https://www.youtube.com/watch?v=rfjfLS3nOt8
Bavaria,C57,2020,400000.0,GBP,2020-11-17,"£400,000 Yacht Tour : Bavaria C57",https://www.youtube.com/watch?v=-vlQqJuqemA
Regal,28 Express,2018,97000.0,GBP,2020-11-27,"£97,000 Yacht Tour : 2018 Regal 28 Express",https://www.youtube.com/watch?v=34Uk5GLdr7Y
Princess,V42,2007,185000.0,GBP,2020-11-15,"£185,000 Yacht Tour : 2007 Princess V42",https://www.youtube.com/watch?v=7oeJDPLXf6E
Beneteau,32GT,2020,212000.0,GBP,2020-11-10,"£212,000 Yacht Tour : Beneteau 32GT",https://www.youtube.com/watch?v=X23EEgvE8E4
Sealine,F430,2020,440000.0,GBP,2020-11-08,"£440,000 Yacht Tour Sealine F430",https://www.youtube.com/watch?v=z5ip4aK1UVg
Duchy,35,2020,368000.0,GBP,2020-11-03,"£368,000 Yacht Tour : Duchy 35",https://www.youtube.com/watch?v=suX-2lnQCtM
Fountaine,Pajot Elba 45,2020,600000.0,EUR,2020-11-01,"€600,000 Yacht Tour : Fountaine Pajot Elba 45",https://www.youtube.com/watch?v=3q8KMBtttBc
Alfastreet,28C,2020,160000.0,GBP,2020-10-27,"£160,000 Electric Yacht Tour : Alfastreet 28C",https://www.youtube.com/watch?v=4FF7Q-Oz36E
Princess,F50,2020,940000.0,GBP,2020-10-25,"£940,000 Yacht Tour : Princess F50",https://www.youtube.com/watch?v=M3qSm1rqx_c
Cranchi,Endurance 41,2009,129000.0,GBP,2020-10-20,"£129,000 Yacht Tour : 2009 Cranchi Endurance 41",https://www.youtube.com/watch?v=SncvzAhfGvk
Seaward,42,2016,650000.0,GBP,2020-10-18,"£650,000 Yacht Tour &amp; Trial : 2016 Seaward 42",https://www.youtube.com/watch?v=zBi1X9UoIq8
